,App Name,App Id,Category,Developer Id,Developer Website,Developer Email,Content Rating,Ad Supported,In App Purchases
21,Gboard - the Google Keyboard,com.google.android.inputmethod.latin,Tools,Google LLC,https://support.google.com/gboard,gboard-dev-support@google.com,Everyone,FALSE,FALSE
22,Instagram,com.instagram.android,Social,Instagram,http://help.instagram.com/,android-support@instagram.com,Teen,TRUE,TRUE
23,"Google Play Books - Ebooks, Audiobooks, and Comics",com.google.android.apps.books,Books & Reference,Google LLC,http://play.google.com/,googleplay-support@google.com,Teen,FALSE,FALSE
24,Google News - Top world & local news headlines,com.google.android.apps.magazines,News & Magazines,Google LLC,https://news.google.com/about,apps-help@google.com,Teen,TRUE,FALSE
25,Google Calendar,com.google.android.calendar,Productivity,Google LLC,http://support.google.com/calendar?p=mobilesync,apps-help@google.com,Everyone,FALSE,FALSE
26,Samsung Internet Browser,com.sec.android.app.sbrowser,Communication,"Samsung Electronics Co.,  Ltd.",http://help.content.samsung.com,noreply.sec@samsung.com,Everyone,FALSE,FALSE
27,Samsung One UI Home,com.sec.android.app.launcher,Personalization,"Samsung Electronics Co.,  Ltd.",https://samsung.com,noreply.sec@samsung.com,Everyone,FALSE,FALSE
28,Samsung Gallery,com.sec.android.gallery3d,Photography,"Samsung Electronics Co.,  Ltd.",https://samsung.com,noreply.sec@samsung.com,Everyone,FALSE,FALSE
29,Facebook Lite,com.facebook.lite,Social,Facebook,https://www.facebook.com/facebook,lite-android-support@fb.com,Teen,TRUE,FALSE
30,Samsung My Files,com.sec.android.app.myfiles,Tools,"Samsung Electronics Co.,  Ltd.",https://samsung.com,noreply.sec@samsung.com,Everyone,FALSE,FALSE
31,Microsoft OneDrive,com.microsoft.skydrive,Productivity,Microsoft Corporation,https://aka.ms/OneDriveOnAndroid,odrvhelp@microsoft.com,Everyone,FALSE,TRUE
32,Android Auto,com.google.android.projection.gearhead,Auto & Vehicles,Google LLC,http://www.android.com/auto,android-auto-app@google.com,Teen,FALSE,FALSE
33,Messages,com.google.android.apps.messaging,Communication,Google LLC,http://www.google.com/mobile/android/,apps-help@google.com,Everyone,FALSE,FALSE
34,Carrier Services,com.google.android.ims,Communication,Google LLC,https://google.com/,apps-help@google.com,Everyone,FALSE,FALSE
35,Skype - free IM & video calls,com.skype.raider,Communication,Skype,http://www.skype.com,skypeuploader@googlemail.com,Everyone,FALSE,FALSE
36,Google Street View,com.google.android.street,Travel & Local,Google LLC,http://www.google.com/mobile/maps/,apps-help@google.com,Everyone,FALSE,FALSE
37,Subway Surfers,com.kiloo.subwaysurf,Arcade,SYBO Games,https://sybogames.com/,subwaysurfers@sybo.zendesk.com,Everyone 10+,TRUE,TRUE
38,Samsung Experience Service,com.samsung.android.mobileservice,Tools,"Samsung Electronics Co.,  Ltd.",http://www.samsung.com/sec/,noreply.sec@samsung.com,Teen,FALSE,FALSE
39,Device Care,com.samsung.android.lool,Tools,"Samsung Electronics Co.,  Ltd.",https://samsung.com,smart.mngr@samsung.com,Everyone,FALSE,FALSE
40,SHAREit - Transfer & Share,com.lenovo.anyshare.gps,Tools,Smart Media4U Technology Pte.Ltd.,http://www.ushareit.com,feedback_android@ushareit.com,Everyone,TRUE,TRUE
41,"Microsoft Word: Write, Edit & Share Docs on the Go",com.microsoft.office.word,Productivity,Microsoft Corporation,https://products.office.com,officean@microsoft.com,Everyone,FALSE,TRUE
42,TikTok,com.zhiliaoapp.musically,Social,TikTok Pte. Ltd.,https://www.tiktok.com/,feedback@tiktok.com,Teen,TRUE,TRUE
43,Snapchat,com.snapchat.android,Social,Snap Inc,http://www.snapchat.com,snapchat@snap.com,Teen,TRUE,TRUE
44,Samsung Email,com.samsung.android.email.provider,Productivity,"Samsung Electronics Co.,  Ltd.",https://samsung.com,b2b.sec@samsung.com,Everyone,FALSE,FALSE
45,Samsung Calculator,com.sec.android.app.popupcalculator,Tools,"Samsung Electronics Co.,  Ltd.",https://samsung.com,noreply.sec@samsung.com,Everyone,FALSE,FALSE
46,"Microsoft Excel: View, Edit, & Create Spreadsheets",com.microsoft.office.excel,Productivity,Microsoft Corporation,https://products.office.com,officean@microsoft.com,Everyone,FALSE,TRUE
47,ANT+ Plugins Service,com.dsi.ant.plugins.antplus,Tools,ANT+,http://thisisant.com,android@thisisant.com,Everyone,FALSE,FALSE
48,Microsoft PowerPoint: Slideshows and Presentations,com.microsoft.office.powerpoint,Productivity,Microsoft Corporation,https://products.office.com,officean@microsoft.com,Everyone,FALSE,TRUE
49,ANT Radio Service,com.dsi.ant.service.socket,Communication,ANT+,http://www.thisisant.com/consumer/,android@thisisant.com,Everyone,FALSE,FALSE
50,Samsung Voice Recorder,com.sec.android.app.voicenote,Tools,"Samsung Electronics Co.,  Ltd.",https://samsung.com,noreply.sec@samsung.com,Everyone,FALSE,FALSE
51,Google Play Services for AR,com.google.ar.core,Tools,Google LLC,https://developers.google.com/ar/,arcore-support@google.com,Everyone,FALSE,FALSE
52,Samsung Print Service Plugin,com.sec.app.samsungprintservice,Productivity,HP Inc.,https://www.samsung.com/us/printer/,support@samsungcloudprint.com,Everyone,FALSE,FALSE
53,Netflix,com.netflix.mediaclient,Entertainment,"Netflix, Inc.",http://www.netflix.com,playstore@netflix.com,Teen,FALSE,TRUE
54,Secure Folder,com.samsung.knox.securefolder,Business,"Samsung Electronics Co.,  Ltd.",https://samsung.com,secfolder@samsung.com,Everyone,FALSE,FALSE
55,Briefing,flipboard.boxer.app,News & Magazines,Flipboard,http://www.flipboard.com,play-store-support@flipboard.com,Everyone 10+,TRUE,FALSE
56,Samsung Health,com.sec.android.app.shealth,Health & Fitness,"Samsung Electronics Co.,  Ltd.",https://www.samsung.com/global/galaxy/apps/samsung-health/,noreply.sec@samsung.com,Everyone,TRUE,FALSE
57,Google Keep - Notes and Lists,com.google.android.keep,Productivity,Google LLC,https://support.google.com/?p=notes_main,apps-help@google.com,Everyone,FALSE,FALSE
58,Candy Crush Saga,com.king.candycrushsaga,Casual,King,http://candycrushsaga.com/help/,candycrush.techhelp@king.com,Everyone,TRUE,TRUE
59,Files by Google,com.google.android.apps.nbu.files,Tools,Google LLC,http://filesgo.google.com/,files-feedback@google.com,Everyone,FALSE,FALSE
60,Twitter,com.twitter.android,Social,"Twitter, Inc.",https://support.twitter.com/articles/20169915,google-play-emails@twitter.com,Mature 17+,TRUE,FALSE
61,Google Docs,com.google.android.apps.docs.editors.docs,Productivity,Google LLC,https://support.google.com/docs/?p=android_docs_help,apps-help@google.com,Everyone,FALSE,FALSE
62,YouTube Music,com.google.android.apps.youtube.music,Music & Audio,Google LLC,https://music.youtube.com,ytmusic-support@google.com,Teen,TRUE,FALSE
63,YouTube Music,com.google.android.music,Music & Audio,Google LLC,https://music.youtube.com,ytmusic-support@google.com,Teen,TRUE,FALSE
64,"Dropbox: Cloud Storage, Photo Backup, File Manager",com.dropbox.android,Productivity,"Dropbox, Inc.",https://www.dropbox.com,android-feedback@dropbox.com,Everyone,FALSE,TRUE
65,Samsung Security Policy Update,com.policydm,Productivity,"Samsung Electronics Co.,  Ltd.",https://samsung.com,sw.upgrade@samsung.com,Everyone,FALSE,FALSE
66,Clock,com.google.android.deskclock,Tools,Google LLC,http://www.google.com/,android-clock-feedback@google.com,Everyone,FALSE,FALSE
67,Spotify: Listen to podcasts & find music you love,com.spotify.music,Music & Audio,Spotify Ltd.,https://www.spotify.com,android-support@spotify.com,Teen,TRUE,FALSE
68,Google Translate,com.google.android.apps.translate,Tools,Google LLC,http://support.google.com/translate,translate-mobile-support@google.com,Everyone,FALSE,FALSE
69,Samsung Notes,com.samsung.android.app.notes,Productivity,"Samsung Electronics Co.,  Ltd.",https://samsung.com,noreply.sec@samsung.com,Everyone,FALSE,FALSE
70,Calculator,com.google.android.calculator,Tools,Google LLC,http://www.google.com/,android-calculator-feedback@google.com,Everyone,FALSE,FALSE
